epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,377.07,0.8055,0.88546,0.998,0.30412,0.00333177,0.00333177,0.00333177
2,636.817,0.48369,0.87037,0.99689,0.34556,0.00644515,0.00644515,0.00644515
3,875.18,0.5711,0.82242,0.996,0.46266,0.00933854,0.00933854,0.00933854
4,1083.63,0.59356,0.88724,0.99845,0.31488,0.00901,0.00901,0.00901
5,1318.63,0.47776,0.92075,0.99778,0.2297,0.00868,0.00868,0.00868
6,1619.49,0.40491,0.92453,0.99867,0.20961,0.00835,0.00835,0.00835
7,1910.29,0.37453,0.9374,0.99933,0.16796,0.00802,0.00802,0.00802
8,2154.86,0.34025,0.94495,0.99933,0.15201,0.00769,0.00769,0.00769
9,2403.58,0.32019,0.95006,0.99911,0.13535,0.00736,0.00736,0.00736
10,2597.43,0.30194,0.95272,0.99911,0.127,0.00703,0.00703,0.00703
11,2756.78,0.27999,0.95738,0.99978,0.11319,0.0067,0.0067,0.0067
12,3031.24,0.2673,0.9616,0.99933,0.11013,0.00637,0.00637,0.00637
13,3277.07,0.26088,0.96115,0.99978,0.1092,0.00604,0.00604,0.00604
14,3493.07,0.24906,0.96271,0.99956,0.10334,0.00571,0.00571,0.00571
15,3664.48,0.23907,0.96582,0.99933,0.09291,0.00538,0.00538,0.00538
16,4694.9,0.23526,0.96604,0.99933,0.09005,0.00505,0.00505,0.00505
17,4848.32,0.22074,0.97003,0.99933,0.07957,0.00472,0.00472,0.00472
18,4967.95,0.20916,0.97181,0.99978,0.07788,0.00439,0.00439,0.00439
19,5088.52,0.20583,0.97336,0.99956,0.0743,0.00406,0.00406,0.00406
20,5201.79,0.19711,0.97159,0.99956,0.07409,0.00373,0.00373,0.00373
21,5388.6,0.19386,0.9727,0.99933,0.07109,0.0034,0.0034,0.0034
22,5573.61,0.18456,0.97358,0.99978,0.06537,0.00307,0.00307,0.00307
23,5828.02,0.17583,0.97625,0.99978,0.06256,0.00274,0.00274,0.00274
24,6059.01,0.16717,0.9758,0.99978,0.0622,0.00241,0.00241,0.00241
25,6271.14,0.15947,0.97625,0.99978,0.06122,0.00208,0.00208,0.00208
26,6440.56,0.15039,0.97625,0.99978,0.06036,0.00175,0.00175,0.00175
27,6601.65,0.14739,0.97603,0.99978,0.05942,0.00142,0.00142,0.00142
28,6768.47,0.14159,0.97625,0.99978,0.05887,0.00109,0.00109,0.00109
29,6966.61,0.14035,0.97669,0.99978,0.05871,0.00076,0.00076,0.00076
30,7143.49,0.13241,0.97802,0.99978,0.0581,0.00043,0.00043,0.00043
